Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAR-MAY,JUN-SEP,OCT-DEC
2014,19.77,21.29,24.72,28.38,29.76,30.34,28.54,27.96,27.44,26.49,23.72,20.41,25.73,20.53,27.62,28.57,23.54
2015,19.72,22.38,24.9,27.74,30.24,29.15,28.64,28.05,27.98,27.03,24.09,21.13,25.92,21.05,27.63,28.46,24.08
2016,20.45,23.15,26.26,29.32,30.34,29.67,28.09,28.05,27.59,26.59,23.53,21.4,26.2,21.8,28.64,28.35,23.84
2017,20.06,22.68,25.24,28.95,30.42,29.36,28.19,28,28.03,27.04,23.52,20.95,26.04,21.37,28.2,28.39,23.84
2018,19.9,22.58,26.01,28.48,29.99,29.58,28.19,27.73,27.63,26.42,23.84,20.41,25.9,21.24,28.16,28.28,23.55
2019,19.62,21.8,24.92,28.82,30.27,30.26,28.65,27.92,27.56,26.22,23.93,20.32,25.86,20.71,28,28.6,23.49
2020,19.65,21.93,24.76,28.14,29.84,29.11,28.54,28.13,28.03,26.96,23.48,20.82,25.78,20.79,27.58,28.45,23.75
2021,20.31,22.55,26.3,28.42,29.17,29.07,28.52,28.07,27.79,26.79,23.47,20.72,25.93,21.43,27.97,28.36,23.66
